ip,method,url,status,size
192.168.1.15,GET,/products,404,1493
192.168.1.12,POST,/products,200,3444
192.168.1.186,PUT,/cart,200,2884
192.168.1.11,GET,/home,200,1109
192.168.1.126,PUT,/products,200,1672
192.168.1.234,POST,/cart,200,773
192.168.1.207,PUT,/products,404,4131
192.168.1.149,POST,/cart,200,2071
192.168.1.26,PUT,/login,200,807
192.168.1.202,PUT,/login,200,2240
192.168.1.93,PUT,/login,200,3386
192.168.1.93,GET,/home,200,3053
192.168.1.244,PUT,/login,200,371
192.168.1.7,PUT,/login,200,2037
192.168.1.53,PUT,/products,200,2284
192.168.1.8,PUT,/login,200,4187
192.168.1.47,GET,/cart,200,996
192.168.1.77,POST,/home,404,3683
192.168.1.40,GET,/home,200,1794
192.168.1.68,GET,/login,200,1602
192.168.1.139,PUT,/home,200,2365
192.168.1.246,GET,/products,200,4909
192.168.1.193,GET,/cart,200,322
192.168.1.86,GET,/cart,404,1285
192.168.1.245,GET,/login,404,2033
192.168.1.82,POST,/login,404,1384
192.168.1.126,GET,/login,200,4934
192.168.1.190,GET,/cart,404,4383
192.168.1.40,POST,/products,500,352
192.168.1.79,POST,/home,200,3438
192.168.1.231,POST,/login,404,1830
192.168.1.160,PUT,/cart,500,599
192.168.1.108,PUT,/products,404,592
192.168.1.52,PUT,/products,200,332
192.168.1.104,GET,/login,404,1368
192.168.1.147,POST,/products,500,1376
192.168.1.43,PUT,/home,500,4970
192.168.1.127,POST,/login,200,1893
192.168.1.41,POST,/login,200,1092
192.168.1.108,GET,/products,200,4951
192.168.1.165,GET,/login,200,2780
192.168.1.67,PUT,/products,404,618
192.168.1.116,PUT,/home,200,2464
192.168.1.162,PUT,/home,200,3103
192.168.1.192,PUT,/products,200,495
192.168.1.69,PUT,/home,500,4850
192.168.1.233,GET,/home,200,685
192.168.1.2,GET,/products,200,3915
192.168.1.86,GET,/login,200,2856
192.168.1.168,PUT,/login,200,482
192.168.1.231,GET,/login,500,1815
192.168.1.197,GET,/home,200,3199
192.168.1.81,GET,/cart,404,2174
192.168.1.68,POST,/home,200,4704
192.168.1.201,GET,/products,200,2094
192.168.1.121,PUT,/login,500,3119
192.168.1.29,PUT,/login,200,840
192.168.1.222,PUT,/cart,404,4440
192.168.1.205,PUT,/login,404,4895
192.168.1.87,POST,/login,200,4498
192.168.1.87,POST,/products,200,838
192.168.1.246,PUT,/home,404,371
192.168.1.42,POST,/products,200,3733
192.168.1.52,PUT,/login,200,4199
192.168.1.247,PUT,/login,404,1399
192.168.1.64,POST,/cart,200,2321
192.168.1.238,POST,/login,500,4982
192.168.1.34,POST,/products,200,1921
192.168.1.212,PUT,/login,200,1089
192.168.1.27,GET,/login,404,3716
192.168.1.58,GET,/cart,404,2099
192.168.1.142,PUT,/home,200,2802
192.168.1.224,POST,/cart,200,2647
192.168.1.121,PUT,/products,404,1700
192.168.1.212,PUT,/products,200,3380
